keyword,year,month
finite state Markov chain,2012,
Distance measurement,2012,May
NAO,2011,October
NAO,2012,October
NAO,2011,
compatible dual complex,2013,
H54 [Information Interfaces and Presentation]: Hypertext/Hypermedia – Architectures General Terms: Algorithms,2011,November
six appropriate virtual phantoms,2015,01
Human Factors,2011,
Human Factors,2011,04
Human Factors,2014,May
Human Factors,2014,February
SSIM,2012,October
SSIM,2015,December
sparse decomposition,2013,
meta-toolkits,2011,
meta-toolkits,2011,October
distortion (RD),2014,03
peering,2011,12
Modelling,2014,June
Modelling,2010,05
Diffusion-weighted,2014,January
Optical communication,2014,July
2000 MSC: Primary 42C40,2011,03
2000 MSC: Primary 42C40,2012,03
leverage reference meshes considered,2011,11
L43,2013,March
L43,2013,03
L43,2011,January
L43,2011,April
archiving crawl processing chain,2014,01
archiving crawl processing chain,2013,01
Briilouin,2014,September
condi- tioning,2013,May
width w located,2011,August
fMRI,2013,June
Fingerprint,2012,September
characterize expressive movements provided,2012,
related groundtruth annotation,2012,01
NP-Completeness,2016,May
NP-Completeness,2015,April
subpixel convolution,2012,November
Consistency,2011,06
Consistency,2011,June
Taceback,2011,May
"qd ), semiconductor lasers",2013,05
Image restoration,2013,01
Image restoration,2013,January
Image restoration,2013,
Volumetric Breast Density,2014,August
Volumetric Breast Density,2014,08
Multiple Description Coding,2012,August
Index Terms—ElectroMyoGram (EMG),2015,October
Adaptive,2016,05
Adaptive,2015,05
opportunistic spectrum access,2012,August
opportunistic spectrum access,2012,April
bgp routers starting,2015,
wwwimperialacuk/people/tvalletti,2011,11
Francisco,2013,
narration,2015,
narration,2015,
narration,2013,August
TDOA estimates,2012,April
artificial magnetic conductor,2014,03
scalable video coding,2013,May
publicat ion det ails,2011,
3d video extension,2014,09
technologie,2012,October
technologie,2013,October
Coded,2016,March
"dominates internet traffic ),",2014,April
Optical attenuators,2012,July
image processing,2014,
image processing,2013,October
image processing,2013,06
image processing,2013,January
image processing,2012,06
image processing,2012,January
four rate equations,2012,07
universalisation,2013,June
provide empathic capabilities,2012,05
Ritschel,2011,04
session types,2012,July
visioconférence,2012,December
visioconférence,2011,January
ADC,2010,
ADC,2011,August
Clustering,2011,July
Clustering,2011,07
Clustering,2012,July
using indian music raga,2011,10
standard oltp dataset,2015,September
Scheduled Lightpath Demands (SLD),2015,February
new blind equalizer adapted,2013,09
1 ∇ 2 fn,2014,December
Compréhension,2011,November
Antennas,2013,December
Antennas,2012,01
Antennas,2012,July
CRITIQUE,2011,October
Pareto,2012,October
Pareto,2015,March
Pareto,2015,February
input,2013,April
input,2015,April
input,2013,November
Spatial memory,2015,April
Spatial memory,2015,April
Human-Machine Interface,2015,October
uncertain data,2014,01
uncertain data,2011,October
uncertain data,2013,September
Annihilators,2015,January
semiconductor lasers,2015,February
Adaptive Link Rate,2015,07
Artificial  Magnetic  Conductor,2011,October
non necessarily symmetric,2015,01
IP networks,2014,June
chology; H51 [Multimedia Information Systems]: Eval-,2014,June
communications,2015,August
communications,2012,October
blind source separation,2012,March
blind source separation,2012,April
"g ., ofdma systems",2011,12
using econometric methods,2013,01
tion noise,2011,
diagonal prediction filter depends,2012,12
diagonal prediction filter depends,2012,January
IQA,2015,October
Computer Graphics,2012,August
optimal degree,2012,08
operators like telcos see,2012,
Storage Cloud,2014,February
varying imaging protocols,2014,01
AMS subject classification : 47H05,2016,
Recursive esti- mation,2012,
⇒ livesin,2014,September
switching costs,2013,March
switching costs,2013,03
non-cooperative game theory,2014,July
way two views,2014,11
way two views,2014,November
Mellin Transform,2013,June
Flutter shutter,2016,March
n log 2 n,2014,
ultrasonore,2011,
"cre ), identification codes",2012,04
various uwb frequency bands,2011,August
H51b Artificial,2011,07
minimal surface approach,2011,
Algorithm,2015,March
Algorithm,2015,February
particular model considerably outperforms,2011,
High Dynamic Range,2013,June
gossip step uses row,2014,September
received signal suffers,2012,08
alloy constrained binary relations,2014,August
worldwide lisp beta network,2014,01
distributed stochastic approximation algorithm,2013,11
high time performance,2012,November
Mean square error,2016,March
display different nonverbal behaviors,2012,November
one new malware,2014,
graph sampling,2013,November
graph sampling,2013,
model transformation chains,2014,September
Mathematical morphology on hypergraphs,2015,01
Facebook,2012,September
dist ribut ion,2011,
Responsible Editor: IF Akyildiz,2011,04
resulting interface inherits view,2012,April
60F15,2016,01
60F15,2013,June
60F15,2013,02
Social Simulation,2012,January
Open Source Software,2013,September
Object Recognition,2011,01
availability strongly influence,2015,July
associated central limit theorem,2015,01
formation humaine,2014,May
generating new texture images,2011,September
getting tighter bounds,2012,July
Collaboration,2014,September
full target velocity vector,2015,04
maximally nonlinear boolean functions,2015,December
Index Terms—physical layer,2015,April
Distances,2015,January
Identifiable graphs,2015,01
Identifiable graphs,2015,January
ultrawideband (UWB) antennas,2012,March
extraction process leverages,2012,April
pdfkeywords=Multipartite,2015,01
Electromagnetic Band-Gap (EBG),2012,04
62F10,2011,06
rhis 4 4,2016,December
rhis 4 4,2016,August
rhis 4 4,2016,04
rhis 4 4,2015,December
rhis 4 4,2015,August
rhis 4 4,2015,04
imperfect human knowledge,2014,April
High Dynamic Range Video Compression,2012,August
High Dynamic Range Video Compression,2012,November
Hypervisor Xen,2014,
"wiener process ), possibly",2012,10
Future Internet architecture,2013,March
Future Internet architecture,2013,April
Smoothing,2012,
Lexicographic Dimension,2013,June
Lexicographic Dimension,2013,06
primal-dual optimization,2013,
time – frequency coefficients,2011,August
time – frequency coefficients,2011,08
time – frequency coefficients,2012,August
time – frequency coefficients,2012,08
distributed source coding,2014,11
distributed source coding,2014,November
Soft- ware Defined Network,2014,October
anorexia nervosa,2013,March
inter-frame dependency,2015,July
filtering methods,2007,
Error exponent,2011,March
françois roueff,2016,09
alternatives — though,2014,
Anorexie,2013,January
specific application scenarios,2013,
emotion,2012,August
modulation response,2013,
modulation response,2015,11
modulation response,2011,January
H52 [Information Interfaces and Presentation]: User Interfaces – graphical user interfaces,2011,November
gathered 58 postoperative mri,2011,March
statistical methods,2013,
methodology,2014,August
UCB,2013,02
equipped web exploration,2011,July
image reconstruction,2013,April
image reconstruction,2011,September
Ontology-based,2014,September
Cross-layer Design,2012,August
Cross-layer Design,2012,07
fixed modular integer,2011,
wideband   reflector,2012,March
cell range expansion bias,2016,March
cell range expansion bias,2016,04
cell range expansion bias,2015,March
cell range expansion bias,2015,04
shvc reference software model,2014,
dimension reduction technique paves,2016,June
dimension reduction technique paves,2016,December
dimension reduction technique paves,2015,June
dimension reduction technique paves,2015,December
Index Terms—Optical burst switching,2014,03
ROC surface,2015,01
Internet Censorship,2012,January
Experiments,2014,06
shimura curves defined,2015,01
Low-grade glioma,2013,04
Low-grade glioma,2012,01
least 2x ).,2013,11
Particle Filter,2012,February
Particle Filter,2012,August
uplink power control procedure,2011,
timation,2015,06
Communication refinement,2014,
classification,2015,August
classification,2012,May
classification,2013,01
classification,2015,
Index Terms— Ad Hoc Network,2011,
Index Terms— Ad Hoc Network,2012,
sciences humaines et sociales,2014,May
vérification de modèles,2011,September
tems,2012,07
optical communication systems,2015,June
gaussian distributed multicell interference,2011,07
processing,2014,01
processing,2011,November
pdf,2015,01
semi definite programming,2012,09
tecture and Design]: Distributed networks,2012,December
Index Terms—Artefact-free,2011,11
pointing,2015,July
pointing,2011,October
pointing,2013,June
Optical-code gate,2014,February
"g ., form understanding",2012,August
partial time-order,2011,December
Multi-touch,2012,October
Sequencing,2013,May
Identiable Graphs,2013,March
socially adept computers become,2012,01
novel hierarchical approach,2011,09
Homodyning,2015,August
uniform B-spline function,2014,August
mutekh,2016,January
Exposure index,2015,
Exposure index,2015,
resynchronization algorithms per se,2011,June
methods,2012,April
visualization,2012,April
visualization,2011,May
visualization,2012,April
information system,2011,May
rendering,2015,July
rendering,2012,June
support vector machine,2011,April
support vector machine,2011,April
MS-Kinect,2014,July
piecewise ap-,2014,01
threshold boundary towards,2015,November
méthode de Borda,2015,February
and Kautz,2011,04
Brain Tumor,2016,April
Computing,2017,05
all-optical flip-flop,2012,May
A/D converters,2014,June
perception,2012,January
perception,2011,04
perception,2012,January
perception,2011,
perception,2014,May
Ex-,2011,11
ercsc source positions,2011,May
encoding,2015,01
encoding,2015,January
conception collaborative,2011,October
gaussian time series,2013,02
numerical results assessing,2013,
DFB,2012,July
algorithm adds supplementary vertices,2014,
Broadband,2015,July
different aoffs schemes,2012,12
different aoffs schemes,2012,November
reconfigurable photonic devices appl,2013,February
sender additive white gaus,2012,01
Social Fairness,2016,April
reasonable computational cost,2015,06
reasonable computational cost,2015,February
based subband dpd algorithm,2014,June
display technology,2013,
stimulated brillouin suppression,2014,
non-verbal behavior,2013,August
ACM File Format:,2011,02
color transfer,2011,11
Statistical learning,2011,06
Statistical learning,2011,June
audiovisuel,2011,
hybrid optical electronic devices,2014,May
reconfigurable architectures,2012,August
panorama editing,2012,07
computationally intensive shading effects,2011,
time embedded systems,2013,February
Algorithm Context,2011,11
and virtual realities ✦,2011,07
distributed video coding systems,2013,12
distributed video coding systems,2013,December
United States IEEE,2013,
labeled voxel grids allowing,2012,October
realistic mobile phone model,2016,December
realistic mobile phone model,2016,August
realistic mobile phone model,2016,04
realistic mobile phone model,2015,December
realistic mobile phone model,2015,August
realistic mobile phone model,2015,04
131,2014,05
analytical model,2014,02
analytical model,2012,02
Author Keywords Hybrid Delivery,2015,July
Separation of convolutive mixtures,2013,October
specific image processing developments,2013,05
flexible path selection policies,2012,June
temperate glacier,2011,June
temperate glacier,2010,
n − 1,2011,May
approach thus consists,2014,February
offset tracking,2011,June
stochastic motion model,2016,03
image com-,2014,
Color,2014,April
lution methods,2011,
use cell range expansion,2016,March
use cell range expansion,2016,07
Lattices,2012,May
PUF metrics,2011,June
redist ribut ion,2011,
-wire and -dot devices,1999,
Bit allocation,2014,12
Bit allocation,2014,December
Bit allocation,2014,May
using slower decays together,2011,
ALISP tools � Advertisement detection � Copy detection Data-driven speech segmentation,2013,01
ALISP tools � Advertisement detection � Copy detection Data-driven speech segmentation,2013,January
temporal coherence,2011,
abstract high dynamic range,2015,
promising generalization property,2011,November
Codage de vidéos de profondeur,2012,May
tele-immersion,2013,July
tele-immersion,2013,September
les sites web,2013,
Variance-based Power,2011,June
proposed method makes use,2014,May
services may perform selections,2012,August
j ophthalmol 148,2014,01
use anisotropic filtering,2013,March
component; Multimodal Interaction,2015,12
component; Multimodal Interaction,2015,October
component; Multimodal Interaction,2015,August
Downbeat tracking,2014,May
Downbeat tracking,2015,April
approach combines record filtering,2012,March
approach combines record filtering,2012,03
60H07,2015,
undersampling time interleaved analog,2014,June
Optical cohernt system,2015,March
Confusion,2014,April
ically good families,2016,January
ically good families,2016,02
ically good families,2015,January
ically good families,2015,02
Key words and phrases: Random Matrix,2013,02
video,2011,July
video,2011,August
video,2015,September
video,2011,November
video,2016,January
video,2013,November
video,2011,November
Index Terms — Analog-digital conversion,2010,
Toyota,2013,
End to End delay,2014,01
Language,2012,October
optical,2015,February
optical,2012,October
phaseshifting digital holography,2013,June
Six Port,2012,May
Edge Number,2011,September
NICV,2014,
structural pattern recognition,2011,June
Privacy,2014,01
still quite different,2013,June
metastability,2013,September
metastability,2013,June
IDRD,2012,May
"isit ), hong kong",2015,June
"isit ), hong kong",2015,July
Scientific data,2011,
web crawler,2014,October
second order analysis,2013,11
navigation,2014,October
navigation,2016,01
navigation,2016,January
approach efficiently tracks objects,2011,06
w e first prove,2011,09
w e first prove,2011,December
Controller,2015,November
Underdetermined convolutive mixtures,2015,October
combine deep web sources,2012,August
Sparse,2014,January
sparse sampling,2014,12
sparse sampling,2014,July
sparse sampling,2013,12
sparse sampling,2013,July
electromagnetic compatibility,2013,September
model combines corpus,2014,
Wide-,2010,
Wide-band receiver,2011,August
Embodied Conversational Agents ·,2012,July
Embodied Conversational Agents ·,2012,07
Term,2012,October
On-Demand,2012,November
network performance compared,2016,March
network performance compared,2016,04
network performance compared,2015,March
network performance compared,2015,04
thermal effects also alter,2012,January
Wearable computing,2015,
Wearable computing,2015,April
couplers,2015,February
Optical Sources,2014,November
Optical Sources,2011,September
equivalence relation,2012,May
gestures animation synthesis model,2012,September
index map allows us,2014,December
integrity constraints,2014,
behavior across different levels,2013,July
false detection rate,2013,01
Majority tournament,2011,
social movement,2011,July
Index Terms—Concurrent error detection,2014,June
dynamic visibility events,2011,July
Turning,2013,October
independant component analysis,2013,01
new random walk algorithm,2006,07
Web Archiving,2013,May
Web Archiving,2012,
structure function,2011,
operation point signaled,2015,
formal security functional specification,2013,09
formal security functional specification,2013,September
formal security functional specification,2013,February
formal security functional specification,2012,09
formal security functional specification,2012,September
formal security functional specification,2012,February
apos ;´ evaluation,2015,September
experimental implementation like losses,2011,11
experimental implementation like losses,2011,November
Automotive,2011,September
style,2012,
Component Architectures,2013,August
effective improved reliability,2013,June
bent functions give rise,2017,05
two samples must belong,2014,
image understanding,2014,01
image understanding,2014,May
individual radiation risk based,2015,01
parallax effects,2011,
taken actions grows large,2015,
00408224 https,2016,09
modulation dynamics,2014,12
modulation dynamics,2014,April
modulation dynamics,2015,February
orientation,2011,June
regulating vehicular flow,2013,09
bulimia nervosa,2013,March
JPEG,2012,August
injection,2014,October
Index Terms— audio source separation,2013,
orchestration,2012,July
morphology,2014,01
morphology,2014,May
simple setup based,2014,September
green coordinates approximation scheme,2014,01
channel phase unwrapping,2012,02
DGA,2012,May
DGA,2013,January
evaluate graph collaboration features,2013,01
new motion capture database,2015,May
L52,2015,01
simple retrieval experiments based,2011,09
simple retrieval experiments based,2011,December
Support Vector Machine,2011,July
Support Vector Machine,2011,04
High Reso-,2011,
mean spectral index,2011,February
set c ⊆ v,2015,01
set c ⊆ v,2015,January
linear effects become severe,2012,
Low rank matrix estimation,2014,December
collaboration styles,2016,April
collaboration styles,2016,
Wireless network,2012,October
impromptu relay placement problem,2014,April
Lexicographic Model,2013,June
Lexicographic Model,2013,06
bit autonomous system,2015,
télécommunications,2014,July
provide efficient methods,2014,October
nonlocal means,2011,
sélection d'attributs,2011,July
wireless,2014,November
computational fluid dynamics,2012,October
experimental ber measurements,2013,09
SIFT,2012,October
SIFT,2014,
Languages—,2011,June
Source Separation,2011,June
iterative decoding,2011,October
iterative decoding,2011,September
Smart-Home,2014,September
likelihood ratio test,2011,March
Index Terms—Blind Source Separation,2014,11
small cells,2015,May
small cells,2015,June
small cells,2013,
xml probabilistic data models,2013,July
web,2012,
web,2011,
web,2012,
web,2012,April
outliers,2015,March
electroencephalography,2014,March
electroencephalography,2014,01
electroencephalography,2013,May
classical bounding boxes thanks,2014,01
indoor,2013,June
understanding,2014,September
Accessibility,2015,July
devised using relevance feedback,2011,
modulated transfer function,2012,12
fault tolerance,2012,December
fault tolerance,2012,June
Systèmes de Recommandation,2011,February
patch antenna,2012,April
committed one without violating,2017,08
decoder generated side information,2013,10
normal hearing range,2013,
Cognitive Radio,2011,June
Alge- braic immunity,2015,January
Virtualisation,2012,August
Virtualisation,2012,February
impromptu multihop wireless network,2013,May
attack trees,2015,July
account multiple faults induced,2013,June
A contrario detection,2014,
Data,2017,05
target layout manipulations,2011,August
decision tree induction algorithms,2015,April
OCL,2015,July
cmb,2012,September
finite state machines,2011,04
widely applicable manner,2012,April
System modeling,2014,
EM Cartography,2011,August
Index Terms—Distributed Video Coding,2015,06
Philosophie,2012,
global low noise condition,2011,May
Phase repetitions,2015,October
hardware implemen-,2013,
Kalman filter,2011,June
SDK SmartCard,2014,
model transformation techniques,2014,April
correction,2014,June
ROI coding,2015,
ROI coding,2014,12
ROI coding,2014,December
ROI coding,2014,May
Expressivity,2010,03
Expressivity,2012,October
agent organisations,2013,June
multipath,2011,12
multipath,2011,May
médiation,2012,June
Online estimation,2012,
XML merge,2011,March
music transcription,2013,May
eeg source imaging,2015,June
empirical distribution of the eigenvalues,2013,02
ics]: Shape Modeling—Mesh Models; Computing Methodologies,2013,11
3D video,2014,01
3D video,2014,December
Links:,2013,11
Links:,2013,December
Links:,2013,11
L p convergence,2012,July
autonomic control,2013,June
nonlinear optical properties,2013,September
Simulation Methodology,2014,
emotional engagement,2013,July
immune design structure easy,2013,July
Bloom Filters,2012,May
ay tracing (RT),2013,June
new unified fml specification,2014,August
Index Terms—Distributed video coding,2013,12
Index Terms—Distributed video coding,2013,December
two noteworthy features,2014,
Dialogue,2012,
Index Terms—MIMO systems,2015,August
Complémentarité stratégique,2012,
ranking rule consensus based,2011,
CR Categories: H33 [Information Storage and Retrieval]: Infor- mation Search and Retrieval—Retrieval models,2017,05
Optical communication equipment,2015,September
resolution gas phase spectroscopy,2014,
ubiquitous services,2013,June
théorie,2013,September
simple 2d user input,2014,
Semi-parametric estimation,2011,January
interactive TV applications,2012,July
interactive TV applications,2012,July
interactive TV applications,2011,June
existing multivariate evt methods,2016,June
existing multivariate evt methods,2016,December
existing multivariate evt methods,2015,June
existing multivariate evt methods,2015,December
bipartite ranking subproblems defined,2011,
écosystème d'affaires,2012,May
Index Terms—Green Networking,2015,07
tools currently used,2014,01
tools currently used,2013,01
partition,2012,May
understanding human body behavior,2014,May
efficient bit allocation algorithm,2012,
munity,2014,
fuzzy modeling,2013,November
Internet,2013,June
Internet,2014,January
Internet,2013,January
Multiple cues,2012,
Parametric active contours,2014,March
Parametric active contours,2015,November
Parametric active contours,2015,12
Parametric active contours,2015,01
Parametric active contours,2015,
based image retrieval systems,2011,09
Unsupervised learning,2017,May
Wavelet coefficients,2011,03
Wavelet coefficients,2012,03
commutation de paquets optiques,2014,October
cloud,2015,September
cloud,2014,November
Communicated by Ł Kowalik,2015,09
version control,2014,01
version control,2011,October
version control,2013,September
virus,2013,January
projet,2011,February
zero intermediate frequency,2013,
process,2012,May
process,2011,May
embeddedsystemverification,2015,September
services,2012,July
Mythe,2011,
Tag Recommender Systems,2014,October
virtual meetings,2011,August
whole system considering,2011,December
Room acoustics,2015,October
Alamouti scheme,2013,June
NMF,2014,September
NMF,2011,07
NMF,2011,July
NMF,2013,September
NMF,2015,October
spectral energy distributions,2011,June
CTF,2014,May
cutaneous adipose tissue,2011,
Index Terms—Central limit theorem,2013,01
noisy feedback,2013,March
call data intensional,2008,01
Body Area Network,2012,
Body Area Network,2011,March
ing single photon detectors,2014,August
ing single photon detectors,2014,July
ing single photon detectors,2013,August
ing single photon detectors,2013,July
pauli blocking limits,2012,07
assumes fixed spectral atoms,2011,
Quantum,2015,August
publiés ou non,2015,01
Fitts law,2015,July
nanostructures,2011,January
preuves,2012,November
amplificaeurs optique à semiconducteurs,2011,July
amplificaeurs optique à semiconducteurs,2012,March
Model selection,2011,11
dissipative functions,2012,August
pertinence,2015,
lipschitz constants associated,2016,01
Compression,2011,September
suitable margin assumptions,2011,May
resilience,2013,
Combinatorial problems,2015,09
children's speech recognition,2016,05
children's speech recognition,2016,February
children's speech recognition,2017,05
children's speech recognition,2017,February
recovery,2013,June
télévision publique,2011,September
cavity model,2012,April
Pitch estimation,2011,May
permanent power supply,2013,
musical audio source separation,2011,10
musical audio source separation,2011,October
rn location scenarios,2014,February
poisson process intensity,2015,April
poisson process intensity,2015,04
Pointing,2012,December
contextual information significantly improves,2012,January
average cell spectral efficiency,2011,
— optimal bandwidth,2013,June
allows agents,2014,
based image restoration tasks,2014,June
mpeg format,2015,
honest communication,2014,June
MODIS,2011,August
MP4,2015,June
repeated audio events,2016,March
leadership translates theoretical endorsement,2011,
leadership translates theoretical endorsement,2012,
optimisation fiscale,2014,December
registers change values according,2012,February
a probabilistic xml document,2014,01
packet loss ratio,2013,March
[Computer Graphics]: Computational Geometry and Object Modeling—Object hierarchies,2011,01
challenging activity datasets show,2011,November
Independent Component Analysis,2014,11
HMM,2011,August
HMM,2012,March
Direct electrical stimulation,2011,June
Direct electrical stimulation,2011,March
stochastic poisson network model,2014,
new kindle store,2013,01
different language technology components,2013,
selection process commonly used,2011,
gather scientific data,2011,May
control range,2014,June
Fault injection attack,2013,May
Fault injection attack,2013,September
moderate size network,2014,October
Compressed Sensing,2015,April
double snakes,2015,
narrative interest,2014,October
sequential testing,2016,01
spatially varying pixel exposures,2014,May
adaptive mcmc algorithms,2012,08
theory and,2011,
Matching,2012,08
Matching,2012,February
language,2011,June
language,2011,December
INTERFACES,2012,April
lean management,2013,
spectral index varies widely,2014,December
intelligent machines seamlessly integrate,2012,01
frequency discrimination factor,2012,12
Adaptive Streaming,2011,February
Personal Information Systems,2011,October
normal 1 random variables,2011,12
commercially available isosurfacing software,2011,04
commercially available isosurfacing software,2012,04
broadcast channel,2013,March
interview residual prediction,2013,September
Artificial,2012,04
subband power distribution image,2015,September
develop new descriptors based,2011,09
Argumentation,2011,April
U -statistics,2011,06
lignes caractéristiques,2011,October
channel estimation,2013,
reactive signals sent,2012,July
reactive signals sent,2012,07
Sparse Approximation,2012,10
Cartography,2011,December
vector-scaling,2016,01
vector-scaling,2016,January
stochastic approximation problem,2011,
open virtualization format ).,2013,June
7 coherence levels recorded,2014,
hole filling,2015,April
Author Keywords Co-located collaboration,2016,
ginibre point process,2014,
bayesian variable selection,2016,03
intensional data management scenarios,2008,01
M H,2011,04
magnetoencephalography (MEG),2013,December
magnetoencephalography (MEG),2013,01
Adaptive parameters,2013,
maximum achievable transmission capacity,2012,10
Green&apos;s function,2014,01
documents may come,2012,
documents may come,2015,
documents may come,2012,04
documents may come,2012,
documents may come,2015,04
documents may come,2015,01
documents may come,2013,
documents may come,2012,October
documents may come,2012,11
documents may come,2011,
documents may come,2014,
documents may come,2015,October
documents may come,2015,May
documents may come,2012,
documents may come,2015,
documents may come,2015,01
documents may come,2013,
documents may come,2015,06
documents may come,2015,February
thorough simulation campaign,2016,05
kernel estimation,2012,November
90C25,2012,09
Resilience,2014,03
OSSB,2013,July
Fil- ter,2013,November
squared error behavior close,2016,February
give new improvements,2012,08
Association Rules Mining,2013,October
Integration,2014,
Real-time Collaborative Documents,2016,March
sociologie des usages,2011,May
final side information,2012,April
SMT,2014,
les outils actuellement utilisés,2013,
probabilistic latent component analysis,2011,October
probabilistic latent component analysis,2014,October
probabilistic latent component analysis,2011,May
[Computer-Communication Networks]:,2011,February
UAV,2013,October
UAV,2014,June
UAV,2014,October
capacity region without interference,2012,08
United States &lt;hal-01230585&gt;,2015,
discriminate different classes,2012,12
discriminate different classes,2012,December
community evaluation,2013,February
community evaluation,2013,February
Music Information Retrieval. Audio/Score Alignment,2011,November
subjects properly recognized,2015,August
defect modeling,2014,June
defect modeling,2014,May
defect modeling,2015,October
Nested graph conditions,2015,July
CRS-R = Coma Recovery Scale Revised,2014,April
spherical harmonics expansion,2012,March
Blind source separation,2011,September
Blind source separation,2013,September
Blind source separation,2011,September
low resolution infrared images,2013,06
low resolution infrared images,2013,January
low resolution infrared images,2012,06
low resolution infrared images,2012,January
salient visual structures,2012,April
video-based studies,2014,April
first remove outliers using,1981,
correlated noise,2015,09
tradeoff node architecture,2013,10
Keywords: vector graphics,2013,December
Keywords: vector graphics,2013,11
Autism Spectrum Disorders,2014,
Multimedia,2014,July
Multimedia,2013,June
median relation,2012,May
median relation,2015,01
median relation,2013,01
linear regime,2012,
make concurrent programming tractable,2017,08
microstrip antennas,2013,May
bursty communi-,2010,March
bursty communi-,2010,02
bursty communi-,2013,March
bursty communi-,2013,02
Index Terms— High-Impedance Surface (HIS),2012,04
thulium doped fiber,2014,December
channel bonding,2014,11
Romaric Gaudel,2014,05
Index Terms— Distributed optimization,2014,December
timbre,2011,October
proved accurate even,2011,December
noisy binary channels,2016,01
noisy binary channels,2016,January
Decoding,2012,May
devices,2015,February
load balancing,2015,May
individualised average glandular dose,2015,01
alexandre gramfort,2014,June
flat top,2012,November
Routing,2012,October
emotional behavior,2013,September
discuss several concrete proposals,2016,11
recherche,2011,
prédicats,2016,March
location,2013,January
location,2013,
multi-armed bandit,2016,01
Smart Card,2012,September
Harmonic signals,2014,May
Modal identification,2013,11
Modal identification,2013,July
end 4k video streaming,2014,
quickly introduce session types,2012,June
Matching Pursuits,2012,10
nevertheless take questionable assumptions,2011,September
varactors,2013,April
Computer Security,2013,August
expressivity,2011,October
expressivity,2011,
Preferences,2013,June
Preferences,2013,06
two key components,2014,June
specific sparsity structures,2015,01
database views,2014,
unsold,2012,April
unexpectedness,2011,
tight,2011,
Multi-phase level sets,2014,October
encounters,2012,May
electronic kindle formats,2013,01
continuous input,2013,April
— primary user emulation,2015,July
mesh,2014,November
diffusion curves,2013,December
diffusion curves,2013,11
Drones,2013,October
Inter-view interpolation,2013,10
Inter-view interpolation,2013,October
signal production patterns,2012,November
Image segmentation,2014,March
Image segmentation,2015,November
Image segmentation,2015,12
modulated rectangular optical signal,2016,04
méthode de Condorcet,2015,February
smartphones get increasingly popular,2014,August
propose two matching algorithms,2011,September
rithm,2013,11
spectrogram factorisation,2016,March
3D fetal growth modeling,2013,April
3D fetal growth modeling,2013,11
audio source separation consists,2014,01
cognitive design research,2011,October
total power consumption,2013,
WDM,2011,January
Santé,2011,
formal methods early,2013,09
formal methods early,2013,September
formal methods early,2013,February
formal methods early,2012,09
formal methods early,2012,September
formal methods early,2012,February
Cognitive radio,2015,June
Path diversity,2012,May
Network Coding,2016,12
Network Coding,2014,11
Computer holography,2015,January
subjective listening tests show,2013,04
Side Information,2015,06
Blind Calibration,2013,April
Index Terms—Latin and Arabic handwriting recognition,2011,08
19 antenatal 3dus images,2013,05
GMM,2011,August
balance,2014,September
beam combining,2011,May
beam combining,2011,January
beam combining,2011,January
Body area network,2011,March
contraste,2016,March
Kernel Target Alignment,2012,12
resolution retinal imaging abnormalities,2016,05
resolution retinal imaging abnormalities,2015,05
Autonomie,2011,
physical time,2011,December
linear regression,2014,
Hybrid filter bank,2010,
Hybrid filter bank,2011,August
data processing inequality,2011,January
provable approximation guarantees,2011,September
embodied conversational agent,2012,September
multiple cues,2012,05
energy effort necessary,2013,
Similarity,2015,01
Golden Code EDICS category: MSP-DECD,2008,January
Golden Code EDICS category: MSP-DECD,2012,January
Amplificateurs,2014,July
Microcontrollers,2014,August
Microcontrollers,2014,December
Microcontrollers,2014,
Microcontrollers,2014,October
Microcontrollers,2014,July
Microcontrollers,2013,August
Microcontrollers,2014,January
Stéphan Clémençon,2015,01
ROC optimization,2007,
Spatial Configuration,2012,03
giving chat,2015,
transform physically measured quantities,2013,05
mode coupled spontaneous parametric,2013,February
web application currently crawled,2014,01
web application currently crawled,2013,01
(MSE),2016,March
single seamless image,2013,May
curves exhibit similar features,2014,01
curves exhibit similar features,2014,September
mixed 2D and 3D,2012,April
single event effects,2013,June
quality assessment,2015,
optimal rn placement scheme,2016,March
optimal rn placement scheme,2016,04
optimal rn placement scheme,2015,March
optimal rn placement scheme,2015,04
ILP · Knowledge bases,2015,July
Stereoscopic,2012,April
Modélisation,2013,
Modélisation,2011,September
T,2011,04
Index Terms— Artifacts detection,2011,
open innovation,2011,February
responsabilité élargie du producteur,2012,September
Multimedia Networking,2014,11
flow-level models,2011,November
two legitimate users try,2015,April
two legitimate users try,2015,February
two legitimate users try,2014,April
two legitimate users try,2014,February
Architectural distortions,2014,
Music/voice separation,2012,March
estimation,2012,November
estimation,2011,September
estimation,2011,February
estimation,2013,February
estimation,2013,February
estimation,2012,April
real-time collaborative documents,2015,October
self – similar processes,2014,01
Sup-norm,2011,June
Sup-norm,2011,12
Sup-norm,2012,June
Sup-norm,2012,12
viscous layer area needs,2012,October
AMS 2000 subject classification: Primary 15A52,2016,01
AMS 2000 subject classification: Primary 15A52,2013,02
two data files using,2011,
shape constraint,2011,May
Voice User Interfaces,2013,May
accurate 3d models,2013,April
accurate 3d models,2013,11
less relays per cell,2011,
Bezel Gestures,2013,April
ldpc ensemble designed,2015,November
annex,2011,April
central point collects,2014,March
Changement,2011,
OLS,2012,April
Azimuth estimation,2012,April
mpeg representation,2011,
time dimensions increase simultaneously,2011,February
